2022-07-20 13:09:00 >> Node: name - testNode1, IP - 127.0.0.1, state - false.. Message [WARNING]: Неудалось подключиться!
2022-07-20 13:09:15 >> Node: name - testNode1, IP - 127.0.0.1, state - false.. Message [WARNING]: Неудалось подключиться!
2022-07-20 13:09:30 >> Node: name - testNode1, IP - 127.0.0.1, state - false.. Message [WARNING]: Неудалось подключиться!
2022-07-20 13:09:45 >> Node: name - testNode1, IP - 127.0.0.1, state - false.. Message [WARNING]: Неудалось подключиться!
2022-07-20 13:10:00 >> Node: name - testNode1, IP - 127.0.0.1, state - false.. Message [WARNING]: Неудалось подключиться!
2022-07-20 13:10:15 >> Node: name - testNode1, IP - 127.0.0.1, state - false.. Message [WARNING]: Неудалось подключиться!
2022-07-20 13:10:25 >> Node: name - testNode1, IP - 127.0.0.1, state - true.. Message [INFO]: Подключенно!
2022-07-20 13:10:25 >> Node: name - testNode1, IP - 127.0.0.1, state - true. Tag: name - testTag1. Message [INFO]: Запущен опрос тега!
2022-07-20 13:10:30 >> Node: name - testNode1, IP - 127.0.0.1, state - true. Tag: name - testTag1. Message [INFO]: Значение: 0.
2022-07-20 13:10:35 >> Node: name - testNode1, IP - 127.0.0.1, state - true. Tag: name - testTag1. Message [INFO]: Значение: 0.
2022-07-20 13:10:40 >> Node: name - testNode1, IP - 127.0.0.1, state - true. Tag: name - testTag1. Message [INFO]: Значение: 0.
2022-07-20 13:10:45 >> Node: name - testNode1, IP - 127.0.0.1, state - true. Tag: name - testTag1. Message [INFO]: Значение: 0.
2022-07-20 13:10:50 >> Node: name - testNode1, IP - 127.0.0.1, state - true. Tag: name - testTag1. Message [INFO]: Значение: 0.
2022-07-20 13:10:55 >> Node: name - testNode1, IP - 127.0.0.1, state - true. Tag: name - testTag1. Message [INFO]: Значение: 0.
2022-07-20 13:11:00 >> Node: name - testNode1, IP - 127.0.0.1, state - true. Tag: name - testTag1. Message [INFO]: Значение: 0.
2022-07-20 13:11:05 >> Node: name - testNode1, IP - 127.0.0.1, state - true. Tag: name - testTag1. Message [INFO]: Значение: 0.
2022-07-20 13:11:10 >> Node: name - testNode1, IP - 127.0.0.1, state - true. Tag: name - testTag1. Message [INFO]: Значение: 0.
2022-07-20 13:11:15 >> Node: name - testNode1, IP - 127.0.0.1, state - true. Tag: name - testTag1. Message [INFO]: Значение: 0.
2022-07-20 13:11:20 >> Node: name - testNode1, IP - 127.0.0.1, state - true. Tag: name - testTag1. Message [INFO]: Значение: 0.
2022-07-20 13:11:25 >> Node: name - testNode1, IP - 127.0.0.1, state - true. Tag: name - testTag1. Message [INFO]: Значение: 0.
2022-07-20 13:11:30 >> Node: name - testNode1, IP - 127.0.0.1, state - true. Tag: name - testTag1. Message [INFO]: Значение: 0.
2022-07-20 13:11:35 >> Node: name - testNode1, IP - 127.0.0.1, state - true. Tag: name - testTag1. Message [INFO]: Значение: 0.
2022-07-20 13:11:40 >> Node: name - testNode1, IP - 127.0.0.1, state - true. Tag: name - testTag1. Message [INFO]: Значение: 0.
2022-07-20 13:11:45 >> Node: name - testNode1, IP - 127.0.0.1, state - true. Tag: name - testTag1. Message [INFO]: Значение: 0.
2022-07-20 13:11:50 >> Node: name - testNode1, IP - 127.0.0.1, state - true. Tag: name - testTag1. Message [INFO]: Значение: 0.
2022-07-20 13:11:55 >> Node: name - testNode1, IP - 127.0.0.1, state - true. Tag: name - testTag1. Message [INFO]: Значение: 0.
2022-07-20 13:12:00 >> Node: name - testNode1, IP - 127.0.0.1, state - true. Tag: name - testTag1. Message [INFO]: Значение: 0.
2022-07-20 13:12:05 >> Node: name - testNode1, IP - 127.0.0.1, state - true. Tag: name - testTag1. Message [INFO]: Значение: 0.
2022-07-20 13:12:10 >> Node: name - testNode1, IP - 127.0.0.1, state - true. Tag: name - testTag1. Message [INFO]: Значение: 0.
2022-07-20 13:12:15 >> Node: name - testNode1, IP - 127.0.0.1, state - true. Tag: name - testTag1. Message [INFO]: Значение: 0.
2022-07-20 13:12:20 >> Node: name - testNode1, IP - 127.0.0.1, state - true. Tag: name - testTag1. Message [INFO]: Значение: 0.
2022-07-20 13:12:25 >> Node: name - testNode1, IP - 127.0.0.1, state - true. Tag: name - testTag1. Message [INFO]: Значение: 0.
2022-07-20 13:12:30 >> Node: name - testNode1, IP - 127.0.0.1, state - true. Tag: name - testTag1. Message [INFO]: Значение: 0.
